ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,68000.0,Manual,Hyundai,Hyundai i20,2013,490000.00000000006,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,83000.0,Manual,Hyundai,Hyundai i20,2013,525000.0,Comprehensive,Brown,1396.0,False,False,Bangalore,Karnataka
Petrol,62139.0,Manual,Maruti,Maruti Wagon R,2018,550000.0,Comprehensive,Red,998.0,False,False,Bangalore,Karnataka
Gas,74000.0,Manual,Hyundai,Hyundai i10,2013,365000.0,Comprehensive,Gray,1086.0,False,False,Bangalore,Karnataka
Petrol,26500.0,Automatic,Renault,Renault KWID,2016,420000.0,Comprehensive,Red,999.0,False,False,Bangalore,Karnataka
Petrol,38197.0,Manual,Honda,Honda Brio,2013,394000.0,Third Party,Other,1198.0,False,False,Bangalore,Karnataka
Petrol,23000.0,Automatic,Maruti,Maruti Baleno,2017,725000.0,Comprehensive,Gray,1197.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Maruti,Maruti Alto K10,2013,240000.0,Third Party,Red,998.0,False,False,Bangalore,Karnataka
Petrol,19000.0,Manual,Hyundai,Hyundai Grand i10,2019,695000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,14000.0,Automatic,Kia,Kia Seltos,2020,1725000.0,Comprehensive,White,1353.0,True,False,Bangalore,Karnataka
Petrol,29268.0,Manual,Hyundai,Hyundai EON,2014,330000.0,Comprehensive,White,814.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Volkswagen,Volkswagen Vento,2019,990000.0,Third Party,Other,1197.0,True,False,Bangalore,Karnataka
Petrol,64374.0,Automatic,Honda,Honda Jazz,2018,755000.0,Not Available,Gray,1199.0,False,False,Bangalore,Karnataka
Diesel,30000.0,Manual,MG,MG Hector,2021,1750000.0,Third Party,Other,1956.0,True,False,Bangalore,Karnataka
Petrol,43679.0,Manual,Hyundai,Hyundai i10,2010,271000.0,Comprehensive,Silver,1086.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Automatic,Hyundai,Hyundai Creta,2018,1280000.0,Third Party,Other,1591.0,False,False,Bangalore,Karnataka
Diesel,40562.0,Manual,Hyundai,Hyundai i20,2012,436000.00000000006,Third Party,Red,1396.0,False,False,Bangalore,Karnataka
Petrol,26500.0,Automatic,Hyundai,Hyundai Creta,2021,1675000.0,Comprehensive,White,1397.0,True,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Hyundai,Hyundai Venue,2019,1250000.0,Third Party,Other,998.0,True,False,Bangalore,Karnataka
Diesel,58600.0,Automatic,Mahindra,Mahindra XUV500,2016,1350000.0,Third Party,Silver,2179.0,True,False,Bangalore,Karnataka
Petrol,30000.0,Automatic,Jeep,Jeep Compass,2021,2450000.0,Third Party,Other,1368.0,False,False,Bangalore,Karnataka
Petrol,20000.0,Automatic,Kia,Kia Seltos,2020,1625000.0,Third Party,Other,1353.0,True,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Hyundai,Hyundai i10,2009,249000.00000000003,Third Party,Other,1197.0,False,False,Bangalore,Unknown
Petrol,83394.0,Manual,Renault,Renault Duster,2014,630000.0,Not Available,Red,1598.0,False,False,Bangalore,Karnataka
Petrol,52204.0,Manual,Maruti,Maruti Alto K10,2017,385000.0,Third Party,Silver,998.0,False,False,Bangalore,Karnataka
